date,river flow
1/1/23,247
1/2/23,242
1/3/23,260
1/4/23,240
1/5/23,244
1/6/23,249
1/7/23,250
1/8/23,249
1/9/23,249
1/10/23,246
1/11/23,246
1/12/23,244
1/13/23,249
1/14/23,246
1/15/23,245
1/16/23,256
1/17/23,244
1/18/23,244
1/19/23,255
1/20/23,250
1/21/23,249
1/22/23,251
1/23/23,250
1/24/23,248
1/25/23,256
1/26/23,250
1/27/23,251
1/28/23,254
1/29/23,252
1/30/23,255
1/31/23,258
2/1/23,258
2/2/23,255
2/3/23,256
2/4/23,255
2/5/23,250
2/6/23,250
2/7/23,250
2/8/23,245
2/9/23,257
2/10/23,197
2/11/23,127
2/12/23,127
2/13/23,125
2/14/23,135
2/15/23,134
2/16/23,130
2/17/23,128
2/18/23,130
2/19/23,128
2/20/23,127
2/21/23,129
2/22/23,130
2/23/23,130
2/24/23,124
2/25/23,123
2/26/23,123
2/27/23,178
2/28/23,146
3/1/23,145
3/2/23,143
3/3/23,137
3/4/23,137
3/5/23,137
3/6/23,151
3/7/23,142
3/8/23,113
3/9/23,82
3/10/23,82.6
3/11/23,79
3/12/23,84.5
3/13/23,81.2
3/14/23,77.6
3/15/23,105
3/16/23,124
3/17/23,127
3/18/23,111
3/19/23,110
3/20/23,110
3/21/23,111
3/22/23,107
3/23/23,102
3/24/23,99
3/25/23,104
3/26/23,95
3/27/23,109
3/28/23,128
3/29/23,151
3/30/23,152
3/31/23,224
4/1/23,246
4/2/23,301
4/3/23,316
4/4/23,311
4/5/23,327
4/6/23,298
4/7/23,293
4/8/23,297
4/9/23,297
4/10/23,322
4/11/23,339
4/12/23,336
4/13/23,335
4/14/23,333
4/15/23,329
4/16/23,337
4/17/23,325
4/18/23,299
4/19/23,307
4/20/23,315
4/21/23,305
4/22/23,292
4/23/23,292
4/24/23,289
4/25/23,280
4/26/23,278
4/27/23,283
4/28/23,288
4/29/23,304
4/30/23,296
5/1/23,306
5/2/23,299
5/3/23,287
5/4/23,289
5/5/23,271
5/6/23,233
5/7/23,239
5/8/23,246
5/9/23,230
5/10/23,193
5/11/23,150
5/12/23,149
5/13/23,149
5/14/23,155
5/15/23,157
5/16/23,162
5/17/23,126
5/18/23,98
5/19/23,77.8
5/20/23,85.9
5/21/23,88.9
5/22/23,83.9
5/23/23,64
5/24/23,44.1
5/25/23,47
5/26/23,40.6
5/27/23,42.4
5/28/23,41.6
5/29/23,39.9
5/30/23,30.1
5/31/23,17.3
6/1/23,15.8
6/2/23,19.7
6/3/23,21.3
6/4/23,22.5
6/5/23,14.7
6/6/23,16.6
6/7/23,16.8
6/8/23,17.1
6/9/23,18
6/10/23,19.2
6/11/23,16.8
6/12/23,15.7
6/13/23,14.9
6/14/23,12
6/15/23,13.3
6/16/23,15.4
6/17/23,19
6/18/23,20.6
6/19/23,18.4
6/20/23,16.3
6/21/23,16.9
6/22/23,15.9
6/23/23,16.5
6/24/23,20.6
6/25/23,22.8
6/26/23,29.8
