# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-10-07 21:51:43 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05428500 YAHARA RIVER AT EAST MAIN STREET AT MADISON, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05428500
#            TS   parameter     statistic     Description
#        155053       00065     00001     Gage height, feet (Maximum)
#        155054       00065     00002     Gage height, feet (Minimum)
#        155055       00065     00003     Gage height, feet (Mean)
#        155056       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	155056_00060_00003	155056_00060_00003_cd
5s	15s	20d	14n	10s
USGS	05428500	2023-01-01	247	P
USGS	05428500	2023-01-02	242	P
USGS	05428500	2023-01-03	260	P
USGS	05428500	2023-01-04	240	P
USGS	05428500	2023-01-05	244	P
USGS	05428500	2023-01-06	249	P
USGS	05428500	2023-01-07	250	P
USGS	05428500	2023-01-08	249	P
USGS	05428500	2023-01-09	249	P
USGS	05428500	2023-01-10	246	P
USGS	05428500	2023-01-11	246	P
USGS	05428500	2023-01-12	244	P
USGS	05428500	2023-01-13	249	P
USGS	05428500	2023-01-14	246	P
USGS	05428500	2023-01-15	245	P
USGS	05428500	2023-01-16	256	P
USGS	05428500	2023-01-17	244	P
USGS	05428500	2023-01-18	244	P
USGS	05428500	2023-01-19	255	P
USGS	05428500	2023-01-20	250	P
USGS	05428500	2023-01-21	249	P
USGS	05428500	2023-01-22	251	P
USGS	05428500	2023-01-23	250	P
USGS	05428500	2023-01-24	248	P
USGS	05428500	2023-01-25	256	P
USGS	05428500	2023-01-26	250	P
USGS	05428500	2023-01-27	251	P
USGS	05428500	2023-01-28	254	P
USGS	05428500	2023-01-29	252	P
USGS	05428500	2023-01-30	255	P
USGS	05428500	2023-01-31	258	P
USGS	05428500	2023-02-01	258	P
USGS	05428500	2023-02-02	255	P
USGS	05428500	2023-02-03	256	P
USGS	05428500	2023-02-04	255	P
USGS	05428500	2023-02-05	250	P
USGS	05428500	2023-02-06	250	P
USGS	05428500	2023-02-07	250	P
USGS	05428500	2023-02-08	245	P
USGS	05428500	2023-02-09	257	P
USGS	05428500	2023-02-10	197	P
USGS	05428500	2023-02-11	127	P
USGS	05428500	2023-02-12	127	P
USGS	05428500	2023-02-13	125	P
USGS	05428500	2023-02-14	135	P
USGS	05428500	2023-02-15	134	P
USGS	05428500	2023-02-16	130	P
USGS	05428500	2023-02-17	128	P
USGS	05428500	2023-02-18	130	P
USGS	05428500	2023-02-19	128	P
USGS	05428500	2023-02-20	127	P
USGS	05428500	2023-02-21	129	P
USGS	05428500	2023-02-22	130	P
USGS	05428500	2023-02-23	130	P
USGS	05428500	2023-02-24	124	P
USGS	05428500	2023-02-25	123	P
USGS	05428500	2023-02-26	123	P
USGS	05428500	2023-02-27	178	P
USGS	05428500	2023-02-28	146	P
USGS	05428500	2023-03-01	145	P
USGS	05428500	2023-03-02	143	P
USGS	05428500	2023-03-03	137	P
USGS	05428500	2023-03-04	137	P
USGS	05428500	2023-03-05	137	P
USGS	05428500	2023-03-06	151	P
USGS	05428500	2023-03-07	142	P
USGS	05428500	2023-03-08	113	P
USGS	05428500	2023-03-09	82.0	P
USGS	05428500	2023-03-10	82.6	P
USGS	05428500	2023-03-11	79.0	P
USGS	05428500	2023-03-12	84.5	P
USGS	05428500	2023-03-13	81.2	P
USGS	05428500	2023-03-14	77.6	P
USGS	05428500	2023-03-15	105	P
USGS	05428500	2023-03-16	124	P
USGS	05428500	2023-03-17	127	P
USGS	05428500	2023-03-18	111	P
USGS	05428500	2023-03-19	110	P
USGS	05428500	2023-03-20	110	P
USGS	05428500	2023-03-21	111	P
USGS	05428500	2023-03-22	107	P
USGS	05428500	2023-03-23	102	P
USGS	05428500	2023-03-24	99.0	P
USGS	05428500	2023-03-25	104	P
USGS	05428500	2023-03-26	95.0	P
USGS	05428500	2023-03-27	109	P
USGS	05428500	2023-03-28	128	P
USGS	05428500	2023-03-29	151	P
USGS	05428500	2023-03-30	152	P
USGS	05428500	2023-03-31	224	P
USGS	05428500	2023-04-01	246	P
USGS	05428500	2023-04-02	301	P
USGS	05428500	2023-04-03	316	P
USGS	05428500	2023-04-04	311	P
USGS	05428500	2023-04-05	327	P
USGS	05428500	2023-04-06	298	P
USGS	05428500	2023-04-07	293	P
USGS	05428500	2023-04-08	297	P
USGS	05428500	2023-04-09	297	P
USGS	05428500	2023-04-10	322	P
USGS	05428500	2023-04-11	339	P
USGS	05428500	2023-04-12	336	P
USGS	05428500	2023-04-13	335	P
USGS	05428500	2023-04-14	333	P
USGS	05428500	2023-04-15	329	P
USGS	05428500	2023-04-16	337	P
USGS	05428500	2023-04-17	325	P
USGS	05428500	2023-04-18	299	P
USGS	05428500	2023-04-19	307	P
USGS	05428500	2023-04-20	315	P
USGS	05428500	2023-04-21	305	P
USGS	05428500	2023-04-22	292	P
USGS	05428500	2023-04-23	292	P
USGS	05428500	2023-04-24	289	P
USGS	05428500	2023-04-25	280	P
USGS	05428500	2023-04-26	278	P
USGS	05428500	2023-04-27	283	P
USGS	05428500	2023-04-28	288	P
USGS	05428500	2023-04-29	304	P
USGS	05428500	2023-04-30	296	P
USGS	05428500	2023-05-01	306	P
USGS	05428500	2023-05-02	299	P
USGS	05428500	2023-05-03	287	P
USGS	05428500	2023-05-04	289	P
