agency_cd	site_no	datetime	depth_ft
USGS	341408111212001	1/1/23	31.56
USGS	341408111212001	1/2/23	31.61
USGS	341408111212001	1/3/23	31.66
USGS	341408111212001	1/4/23	31.7
USGS	341408111212001	1/5/23	31.66
USGS	341408111212001	1/6/23	31.65
USGS	341408111212001	1/7/23	31.64
USGS	341408111212001	1/8/23	31.62
USGS	341408111212001	1/9/23	31.59
USGS	341408111212001	1/10/23	31.53
USGS	341408111212001	1/11/23	31.53
USGS	341408111212001	1/12/23	31.56
USGS	341408111212001	1/13/23	31.49
USGS	341408111212001	1/14/23	31.4
USGS	341408111212001	1/15/23	31.33
USGS	341408111212001	1/16/23	31.31
USGS	341408111212001	1/17/23	31.29
USGS	341408111212001	1/18/23	31.35
USGS	341408111212001	1/19/23	31.29
USGS	341408111212001	1/20/23	31.28
USGS	341408111212001	1/21/23	31.27
USGS	341408111212001	1/22/23	31.16
USGS	341408111212001	1/23/23	31.14
USGS	341408111212001	1/24/23	31.21
USGS	341408111212001	1/25/23	31.17
USGS	341408111212001	1/26/23	31.14
USGS	341408111212001	1/27/23	31.04
USGS	341408111212001	1/28/23	30.99
USGS	341408111212001	1/29/23	30.94
USGS	341408111212001	1/30/23	30.93
USGS	341408111212001	1/31/23	30.91
USGS	341408111212001	2/1/23	30.9
USGS	341408111212001	2/2/23	30.94
USGS	341408111212001	2/3/23	30.88
USGS	341408111212001	2/4/23	30.83
USGS	341408111212001	2/5/23	30.77
USGS	341408111212001	2/6/23	30.73
USGS	341408111212001	2/7/23	30.76
USGS	341408111212001	2/8/23	30.73
USGS	341408111212001	2/9/23	30.71
USGS	341408111212001	2/10/23	30.69
USGS	341408111212001	2/11/23	30.6
USGS	341408111212001	2/12/23	30.55
USGS	341408111212001	2/13/23	30.52
USGS	341408111212001	2/14/23	30.46
USGS	341408111212001	2/15/23	30.55
USGS	341408111212001	2/16/23	30.6
USGS	341408111212001	2/17/23	30.54
USGS	341408111212001	2/18/23	30.48
USGS	341408111212001	2/19/23	30.46
USGS	341408111212001	2/20/23	30.42
USGS	341408111212001	2/21/23	30.31
USGS	341408111212001	2/22/23	30.31
USGS	341408111212001	2/23/23	30.41
USGS	341408111212001	2/24/23	30.42
USGS	341408111212001	2/25/23	30.33
USGS	341408111212001	2/26/23	30.29
USGS	341408111212001	2/27/23	30.28
USGS	341408111212001	2/28/23	30.22
USGS	341408111212001	3/1/23	30.13
USGS	341408111212001	3/2/23	30.22
USGS	341408111212001	3/3/23	30.18
USGS	341408111212001	3/4/23	30.14
USGS	341408111212001	3/5/23	30.12
USGS	341408111212001	3/6/23	30.1
USGS	341408111212001	3/7/23	30.05
USGS	341408111212001	3/8/23	30.01
USGS	341408111212001	3/9/23	29.99
USGS	341408111212001	3/10/23	29.93
USGS	341408111212001	3/11/23	29.89
USGS	341408111212001	3/12/23	29.85
USGS	341408111212001	3/13/23	29.81
USGS	341408111212001	3/14/23	29.78
USGS	341408111212001	3/15/23	29.7
USGS	341408111212001	3/16/23	29.68
USGS	341408111212001	3/17/23	29.65
USGS	341408111212001	3/18/23	29.64
USGS	341408111212001	3/19/23	29.57
USGS	341408111212001	3/20/23	29.48
USGS	341408111212001	3/21/23	29.42
USGS	341408111212001	3/22/23	29.41
USGS	341408111212001	3/23/23	29.34
USGS	341408111212001	3/24/23	29.24
USGS	341408111212001	3/25/23	29.1
USGS	341408111212001	3/26/23	29.01
USGS	341408111212001	3/27/23	28.95
USGS	341408111212001	3/28/23	28.82
USGS	341408111212001	3/29/23	28.69
USGS	341408111212001	3/30/23	28.62
USGS	341408111212001	3/31/23	28.63
USGS	341408111212001	4/1/23	28.52
USGS	341408111212001	4/2/23	28.43
USGS	341408111212001	4/3/23	28.29
USGS	341408111212001	4/4/23	28.31
USGS	341408111212001	4/5/23	28.29
USGS	341408111212001	4/6/23	28.22
USGS	341408111212001	4/7/23	28.17
USGS	341408111212001	4/8/23	28.14
USGS	341408111212001	4/9/23	28.12
USGS	341408111212001	4/10/23	28.07
USGS	341408111212001	4/11/23	28.01
USGS	341408111212001	4/12/23	27.92
USGS	341408111212001	4/13/23	27.86
USGS	341408111212001	4/14/23	27.89
USGS	341408111212001	4/15/23	27.93
USGS	341408111212001	4/16/23	27.87
USGS	341408111212001	4/17/23	27.78
USGS	341408111212001	4/18/23	27.76
USGS	341408111212001	4/19/23	27.76
USGS	341408111212001	4/20/23	27.8
USGS	341408111212001	4/21/23	27.76
USGS	341408111212001	4/22/23	27.68
USGS	341408111212001	4/23/23	27.65
USGS	341408111212001	4/24/23	27.64
USGS	341408111212001	4/25/23	27.63
USGS	341408111212001	4/26/23	27.66
USGS	341408111212001	4/27/23	27.63
USGS	341408111212001	4/28/23	27.64
USGS	341408111212001	4/29/23	27.64
USGS	341408111212001	4/30/23	27.57
USGS	341408111212001	5/1/23	27.54
USGS	341408111212001	5/2/23	27.56
USGS	341408111212001	5/3/23	27.53
USGS	341408111212001	5/4/23	27.55
USGS	341408111212001	5/5/23	27.56
USGS	341408111212001	5/6/23	27.57
USGS	341408111212001	5/7/23	27.56
USGS	341408111212001	5/8/23	27.54
USGS	341408111212001	5/9/23	27.51
USGS	341408111212001	5/10/23	27.51
USGS	341408111212001	5/11/23	27.53
USGS	341408111212001	5/12/23	27.52
USGS	341408111212001	5/13/23	27.52
USGS	341408111212001	5/14/23	27.59
USGS	341408111212001	5/15/23	27.61
USGS	341408111212001	5/16/23	27.58
USGS	341408111212001	5/17/23	27.53
USGS	341408111212001	5/18/23	27.54
USGS	341408111212001	5/19/23	27.59
USGS	341408111212001	5/20/23	27.59
USGS	341408111212001	5/21/23	27.56
USGS	341408111212001	5/22/23	27.54
USGS	341408111212001	5/23/23	27.53
USGS	341408111212001	5/24/23	27.53
USGS	341408111212001	5/25/23	27.51
USGS	341408111212001	5/26/23	27.53
USGS	341408111212001	5/27/23	27.55
USGS	341408111212001	5/28/23	27.56
USGS	341408111212001	5/29/23	27.58
USGS	341408111212001	5/30/23	27.56
USGS	341408111212001	5/31/23	27.52
USGS	341408111212001	6/1/23	27.57
USGS	341408111212001	6/2/23	27.6
USGS	341408111212001	6/3/23	27.61
USGS	341408111212001	6/4/23	27.61
USGS	341408111212001	6/5/23	27.62
USGS	341408111212001	6/6/23	27.62
USGS	341408111212001	6/7/23	27.66
USGS	341408111212001	6/8/23	27.69
USGS	341408111212001	6/9/23	27.7
USGS	341408111212001	6/10/23	27.68
USGS	341408111212001	6/11/23	27.67
USGS	341408111212001	6/12/23	27.74
USGS	341408111212001	6/13/23	27.75
USGS	341408111212001	6/14/23	27.73
USGS	341408111212001	6/15/23	27.76
USGS	341408111212001	6/16/23	27.8
USGS	341408111212001	6/17/23	27.82
USGS	341408111212001	6/18/23	27.81
USGS	341408111212001	6/19/23	27.84
USGS	341408111212001	6/20/23	27.87
USGS	341408111212001	6/21/23	27.87
USGS	341408111212001	6/22/23	27.88
USGS	341408111212001	6/23/23	27.92
USGS	341408111212001	6/24/23	27.95
USGS	341408111212001	6/25/23	27.96
USGS	341408111212001	6/26/23	27.94
USGS	341408111212001	6/27/23	27.95
USGS	341408111212001	6/28/23	27.98
USGS	341408111212001	6/29/23	28.01
USGS	341408111212001	6/30/23	28.04
USGS	341408111212001	7/1/23	28.06
USGS	341408111212001	7/2/23	28.07
USGS	341408111212001	7/3/23	28.08
USGS	341408111212001	7/4/23	28.11
USGS	341408111212001	7/5/23	28.14
USGS	341408111212001	7/6/23	28.13
USGS	341408111212001	7/7/23	28.14
USGS	341408111212001	7/8/23	28.17
USGS	341408111212001	7/9/23	28.21
USGS	341408111212001	7/10/23	28.24
USGS	341408111212001	7/11/23	28.26
USGS	341408111212001	7/12/23	28.28
USGS	341408111212001	7/13/23	28.28
USGS	341408111212001	7/14/23	28.3
USGS	341408111212001	7/15/23	28.33
USGS	341408111212001	7/16/23	28.36
USGS	341408111212001	7/17/23	28.39
USGS	341408111212001	7/18/23	28.4
USGS	341408111212001	7/19/23	28.43
USGS	341408111212001	7/20/23	28.44
USGS	341408111212001	7/21/23	28.45
USGS	341408111212001	7/22/23	28.48
USGS	341408111212001	7/23/23	28.52
USGS	341408111212001	7/24/23	28.54
USGS	341408111212001	7/25/23	28.55
USGS	341408111212001	7/26/23	28.57
USGS	341408111212001	7/27/23	28.58
USGS	341408111212001	7/28/23	28.62
USGS	341408111212001	7/29/23	28.63
USGS	341408111212001	7/30/23	28.65
USGS	341408111212001	7/31/23	28.68
USGS	341408111212001	8/1/23	28.7
USGS	341408111212001	8/2/23	28.71
USGS	341408111212001	8/3/23	28.73
USGS	341408111212001	8/4/23	28.74
USGS	341408111212001	8/5/23	28.77
USGS	341408111212001	8/6/23	28.8
USGS	341408111212001	8/7/23	28.82
USGS	341408111212001	8/8/23	28.83
USGS	341408111212001	8/9/23	28.84
USGS	341408111212001	8/10/23	28.86
USGS	341408111212001	8/11/23	28.9
USGS	341408111212001	8/12/23	28.92
USGS	341408111212001	8/13/23	28.93
USGS	341408111212001	8/14/23	28.96
USGS	341408111212001	8/15/23	28.98
USGS	341408111212001	8/16/23	28.98
USGS	341408111212001	8/17/23	28.99
USGS	341408111212001	8/18/23	29.01
USGS	341408111212001	8/19/23	29
USGS	341408111212001	8/20/23	29.03
USGS	341408111212001	8/21/23	29.08
USGS	341408111212001	8/22/23	29.07
USGS	341408111212001	8/23/23	29.09
USGS	341408111212001	8/24/23	29.11
USGS	341408111212001	8/25/23	29.12
USGS	341408111212001	8/26/23	29.15
USGS	341408111212001	8/27/23	29.15
USGS	341408111212001	8/28/23	29.17
USGS	341408111212001	8/29/23	29.19
USGS	341408111212001	8/30/23	29.2
USGS	341408111212001	8/31/23	29.2
USGS	341408111212001	9/1/23	29.26
USGS	341408111212001	9/2/23	29.27
USGS	341408111212001	9/3/23	29.25
