date,t-max,t-min,prcp
1/1/23,41,33,0.12
1/2/23,35,29,0
1/3/23,39,32,0.43
1/4/23,37,31,0.06
1/5/23,34,30,0.05
1/6/23,30,16,0.02
1/7/23,26,18,0
1/8/23,26,21,0
1/9/23,39,20,0
1/10/23,35,25,0
1/11/23,45,30,0
1/12/23,36,32,0
1/13/23,31,23,0.01
1/14/23,30,22,0
1/15/23,41,25,0
1/16/23,46,37,0
1/17/23,43,35,0.32
1/18/23,37,32,0
1/19/23,35,32,0.31
1/20/23,32,27,0
1/21/23,27,22,0
1/22/23,26,18,0.04
1/23/23,28,18,0
1/24/23,33,26,0
1/25/23,32,29,0
1/26/23,30,10,0.13
1/27/23,34,11,0.04
1/28/23,17,13,0.03
1/29/23,16,7,0.35
1/30/23,9,-3,0
1/31/23,9,-10,0
2/1/23,23,-3,0
2/2/23,27,2,0
2/3/23,5,-8,0
2/4/23,33,5,0
2/5/23,36,16,0
2/6/23,42,9,0
2/7/23,43,30,0.02
2/8/23,45,23,0
2/9/23,37,33,0.01
2/10/23,35,20,0.62
2/11/23,42,20,0
2/12/23,45,21,0
2/13/23,45,29,0
2/14/23,48,32,0
2/15/23,47,32,0.09
2/16/23,31,20,0
2/17/23,24,12,0.16
2/18/23,38,21,0
2/19/23,44,30,0
2/20/23,42,22,0
2/21/23,33,16,0
2/22/23,30,26,0.03
2/23/23,31,19,0.45
2/24/23,21,10,0.01
2/25/23,32,20,0.04
2/26/23,40,19,0
2/27/23,38,33,0.53
2/28/23,44,31,1.03
3/1/23,51,34,0
3/2/23,36,28,0
3/3/23,40,29,0
3/4/23,45,26,0
3/5/23,47,23,0.01
3/6/23,40,33,0.48
3/7/23,45,30,0
3/8/23,45,30,0
3/9/23,38,30,0
3/10/23,33,28,0.46
3/11/23,34,25,0.02
3/12/23,31,30,0
3/13/23,28,21,0.02
3/14/23,31,10,0
3/15/23,47,22,0
3/16/23,44,40,0
3/17/23,37,13,0.34
3/18/23,24,9,0
3/19/23,38,17,0
3/20/23,48,31,0
3/21/23,53,31,0
3/22/23,49,38,0
3/23/23,44,31,0.17
3/24/23,46,26,0
3/25/23,46,28,0.51
3/26/23,40,18,0.25
3/27/23,41,20,0
3/28/23,45,24,0
3/29/23,37,22,0
3/30/23,41,19,0
3/31/23,63,41,0.34
4/1/23,42,29,0.84
4/2/23,55,29,0.02
4/3/23,55,37,0
4/4/23,54,42,0.19
4/5/23,55,33,0.33
4/6/23,50,29,0
4/7/23,53,29,0
4/8/23,64,33,0
4/9/23,67,37,0
4/10/23,72,50,0
4/11/23,76,51,0
4/12/23,82,60,0
4/13/23,81,58,0
4/14/23,81,56,0
4/15/23,81,57,0
4/16/23,56,32,0.48
4/17/23,37,29,0.49
4/18/23,53,32,0.02
4/19/23,45,34,0
4/20/23,69,40,0.13
4/21/23,53,40,0.1
4/22/23,43,33,0.01
4/23/23,42,32,0.06
4/24/23,49,28,0
4/25/23,46,34,0.09
4/26/23,53,29,0
4/27/23,66,38,0
4/28/23,68,35,0
4/29/23,51,41,0.21
4/30/23,42,36,0.13
5/1/23,50,37,0.08
5/2/23,54,40,0.11
5/3/23,60,34,0
5/4/23,73,40,0
5/5/23,75,57,0
5/6/23,68,56,0.04
5/7/23,82,51,0
5/8/23,58,52,0
5/9/23,69,52,0.53
5/10/23,76,47,0
5/11/23,81,49,0
5/12/23,74,60,0
5/13/23,72,58,0.01
5/14/23,61,48,0
5/15/23,69,39,0.11
5/16/23,79,47,0
5/17/23,65,40,0
5/18/23,74,40,0
5/19/23,67,51,0.07
5/20/23,73,45,0
5/21/23,78,48,0
5/22/23,80,49,0
5/23/23,82,48,0
5/24/23,71,51,0
5/25/23,67,43,0
5/26/23,73,38,0
5/27/23,77,41,0
5/28/23,79,47,0
5/29/23,81,48,0
5/30/23,87,52,0
5/31/23,90,59,0
6/1/23,89,61,0
6/2/23,89,62,0.65
6/3/23,90,59,0
6/4/23,82,57,0
6/5/23,85,52,0
6/6/23,76,61,0
6/7/23,76,54,0.07
6/8/23,76,47,0
6/9/23,80,45,0
6/10/23,83,61,0
6/11/23,63,45,0.06
6/12/23,71,39,0.06
6/13/23,68,53,0
6/14/23,82,56,0.09
6/15/23,73,50,0
6/16/23,74,47,0
6/17/23,80,48,0
6/18/23,84,60,0
6/19/23,86,59,0
6/20/23,85,55,0
6/21/23,88,58,0
6/22/23,88,60,0
6/23/23,89,55,0
6/24/23,91,62,0
6/25/23,79,68,0.21
6/26/23,74,65,0
6/27/23,82,59,0
6/28/23,83,63,0
6/29/23,89,68,0
6/30/23,87,63,0
7/1/23,81,68,0
7/2/23,87,68,0.05
7/3/23,90,61,0
7/4/23,91,68,0
7/5/23,87,68,0.27
7/6/23,79,59,0.46
7/7/23,77,54,0
7/8/23,82,62,0
7/9/23,83,55,0
7/10/23,87,67,0
7/11/23,81,63,0.03
7/12/23,70,58,0
7/13/23,79,58,1.68
7/14/23,87,65,0.83
7/15/23,82,63,0.15
7/16/23,79,61,0
7/17/23,76,58,0
7/18/23,79,53,0
7/19/23,81,56,0
7/20/23,79,64,0
7/21/23,82,56,0
7/22/23,83,59,0
7/23/23,82,59,0.91
7/24/23,85,60,0
7/25/23,88,66,0
7/26/23,86,70,0
7/27/23,90,65,0.26
7/28/23,90,68,0.06
7/29/23,82,66,1.51
7/30/23,80,59,0
7/31/23,81,58,0
8/1/23,83,58,0
8/2/23,83,69,0
8/3/23,86,63,0
8/4/23,83,67,0
8/5/23,83,63,0
8/6/23,79,60,0
8/7/23,81,63,0
8/8/23,85,64,0
8/9/23,80,59,0
8/10/23,82,0,0
8/11/23,84,0,0
8/12/23,83,0,0.21
8/13/23,70,0,0
8/14/23,70,0,0.42
8/15/23,76,58,1.59
8/16/23,79,56,0
8/17/23,72,56,0.2
8/18/23,75,51,0
8/19/23,84,63,0
8/20/23,90,71,0
8/21/23,83,62,0
8/22/23,87,62,0
8/23/23,96,78,0
8/24/23,95,76,0
8/25/23,82,70,0
8/26/23,73,57,0
8/27/23,76,56,0
8/28/23,79,52,0
8/29/23,80,60,0
8/30/23,72,49,0
8/31/23,77,45,0
9/1/23,82,51,0
9/2/23,89,66,0
9/3/23,94,71,0
9/4/23,92,69,0
9/5/23,87,74,0
9/6/23,80,65,0
9/7/23,66,58,0.02
9/8/23,66,53,0
9/9/23,74,47,0.02
9/10/23,78,61,0
9/11/23,67,55,0.31
9/12/23,70,49,0.01
9/13/23,65,47,0.2
9/14/23,72,43,0
9/15/23,77,51,0
9/16/23,69,56,0
9/17/23,72,51,0.05
9/18/23,72,46,0
9/19/23,69,57,0.04
9/20/23,77,57,0.33
9/21/23,77,62,0
9/22/23,76,63,0.04
9/23/23,79,63,0
9/24/23,77,60,0
9/25/23,75,62,0.21
9/26/23,68,61,1.51
9/27/23,68,62,0.07
9/28/23,67,59,0.11
9/29/23,75,49,0
9/30/23,83,60,0
10/1/23,85,60,0
10/2/23,83,60,0
10/3/23,83,56,0
10/4/23,78,64,0
10/5/23,71,54,0
10/6/23,54,44,0
10/7/23,56,38,0
10/8/23,53,37,0
10/9/23,55,35,0
10/10/23,57,42,0
10/11/23,63,34,0
10/12/23,50,47,0.01
10/13/23,52,48,0.49
10/14/23,55,46,1.21
10/15/23,57,42,0.08
10/16/23,55,36,0
10/17/23,62,30,0
10/18/23,64,47,0
10/19/23,59,46,0
10/20/23,60,41,0.06
10/21/23,54,40,0
10/22/23,53,36,0
10/23/23,61,37,0
10/24/23,78,56,0.21
10/25/23,67,58,0.1
10/26/23,64,60,0.09
10/27/23,69,39,0.44
10/28/23,40,36,0.01
10/29/23,38,33,0
10/30/23,36,26,0
10/31/23,35,29,0
11/1/23,37,20,0
11/2/23,52,31,0
11/3/23,50,38,0
11/4/23,53,32,0
11/5/23,57,33,0
11/6/23,65,48,0
11/7/23,50,37,0
11/8/23,47,41,0.41
11/9/23,51,36,0.02
11/10/23,43,26,0
11/11/23,44,21,0
11/12/23,55,41,0
11/13/23,58,28,0
11/14/23,58,27,0
11/15/23,62,37,0
11/16/23,64,39,0
11/17/23,57,25,0
11/18/23,55,25,0
11/19/23,52,25,0
11/20/23,46,34,0
11/21/23,45,32,0.32
11/22/23,42,30,0.06
11/23/23,41,23,0
11/24/23,31,17,0
11/25/23,32,20,0
11/26/23,32,26,0.11
11/27/23,24,14,0.09
11/28/23,22,10,0
11/29/23,43,23,0
11/30/23,46,26,0
12/1/23,34,26,0
12/2/23,37,30,0.03
12/3/23,35,32,0.22
12/4/23,36,32,0.02
12/5/23,36,31,0.04
