date,t-max,t-min,prcp
1/1/23,39,28,0.01
1/2/23,29,24,1.73
1/3/23,32,25,0.08
1/4/23,37,22,0.08
1/5/23,41,19,0
1/6/23,42,15,0.04
1/7/23,47,11,0
1/8/23,45,18,0
1/9/23,44,19,0
1/10/23,42,28,0
1/11/23,42,17,0.14
1/12/23,42,13,0
1/13/23,52,17,0
1/14/23,43,26,0
1/15/23,34,29,0.69
1/16/23,34,29,0.63
1/17/23,31,25,1.23
1/18/23,32,7,0.38
1/19/23,30,5,0
1/20/23,27,5,0.3
1/21/23,35,-3,0.25
1/22/23,30,2,0
1/23/23,30,18,0.15
1/24/23,40,7,0.01
1/25/23,30,2,0
1/26/23,28,7,0
1/27/23,39,1,0
1/28/23,40,8,0
1/29/23,37,16,0
1/30/23,32,25,0
1/31/23,31,19,0.16
2/1/23,36,5,0
2/2/23,43,2,0
2/3/23,47,14,0
2/4/23,50,18,0
2/5/23,46,19,0
2/6/23,36,20,0.02
2/7/23,37,13,0
2/8/23,47,6,0
2/9/23,34,23,0
2/10/23,42,15,0
2/11/23,45,16,0
2/12/23,46,12,0
2/13/23,36,18,0
2/14/23,29,14,0.02
2/15/23,24,-1,0.81
2/16/23,27,-7,0
2/17/23,30,13,0.01
2/18/23,43,14,0
2/19/23,46,22,0
2/20/23,48,24,0
2/21/23,44,21,0
2/22/23,34,19,0.6
2/23/23,27,19,0.14
2/24/23,37,20,0.8
2/25/23,48,18,0
2/26/23,33,21,0.33
2/27/23,35,13,0.35
2/28/23,34,26,0
3/1/23,30,24,0
3/2/23,41,19,1.84
3/3/23,44,12,0.01
3/4/23,39,7,0
3/5/23,41,25,0
3/6/23,44,25,0
3/7/23,44,26,0
3/8/23,45,18,0
3/9/23,47,19,0
3/10/23,47,31,0
3/11/23,46,36,0.11
3/12/23,50,30,0.17
3/13/23,51,25,0
3/14/23,48,23,0
3/15/23,41,33,0
3/16/23,44,28,1.19
3/17/23,42,21,0.08
3/18/23,42,21,0
3/19/23,41,25,0
3/20/23,37,30,0.05
3/21/23,39,33,0.53
3/22/23,39,0,2.52
3/23/23,36,18,0.24
3/24/23,40,0,0.15
3/25/23,37,14,0
3/26/23,39,11,0.02
3/27/23,38,14,0
3/28/23,49,24,0
3/29/23,49,26,0
3/30/23,38,22,0
3/31/23,46,12,0.24
4/1/23,53,19,0
4/2/23,56,26,0
4/3/23,48,25,0
4/4/23,30,15,0.01
4/5/23,43,7,0.01
4/6/23,51,24,0
4/7/23,56,21,0
4/8/23,57,26,0
4/9/23,64,27,0
4/10/23,72,30,0
4/11/23,72,31,0
4/12/23,64,33,0
4/13/23,57,33,0
4/14/23,53,0,0
4/15/23,60,22,0
4/16/23,63,25,0
4/17/23,65,31,0
4/18/23,61,40,0
4/19/23,57,29,0
4/20/23,57,20,0
4/21/23,65,24,0
4/22/23,61,33,0
4/23/23,64,29,0
4/24/23,64,37,0
4/25/23,63,35,0.01
4/26/23,63,30,0
4/27/23,70,27,0
4/28/23,67,32,0
4/29/23,76,30,0
4/30/23,75,33,0
5/1/23,67,39,0
5/2/23,63,35,0
5/3/23,64,32,0
5/4/23,56,31,0
5/5/23,55,28,0
5/6/23,60,29,0
5/7/23,64,35,0
5/8/23,66,32,0
5/9/23,66,30,0
5/10/23,56,31,0
5/11/23,67,28,0
5/12/23,70,33,0
5/13/23,67,46,0
5/14/23,72,37,0
5/15/23,70,43,0
5/16/23,68,48,0
5/17/23,69,41,0.09
5/18/23,70,41,0.34
5/19/23,68,45,0
5/20/23,67,41,0.82
5/21/23,67,38,0
5/22/23,70,40,0
5/23/23,73,39,0.01
5/24/23,70,36,0
5/25/23,70,39,0
5/26/23,68,33,0
5/27/23,67,32,0
5/28/23,71,35,0
5/29/23,71,37,0
5/30/23,70,36,0
5/31/23,66,34,0
6/1/23,66,34,0
6/2/23,66,46,0
6/3/23,69,38,0
6/4/23,72,39,0.01
6/5/23,77,38,0.36
6/6/23,72,39,0
6/7/23,68,32,0
6/8/23,68,30,0
6/9/23,69,43,0
6/10/23,73,36,0
6/11/23,69,38,0
6/12/23,64,42,0
6/13/23,70,38,0
6/14/23,73,0,0
6/15/23,72,37,0.06
6/16/23,73,39,0
6/17/23,77,41,0
6/18/23,76,40,0
6/19/23,76,56,0
6/20/23,75,47,0
6/21/23,78,46,0
6/22/23,77,45,0
6/23/23,73,39,0
6/24/23,78,29,0
6/25/23,81,41,0
6/26/23,83,44,0
6/27/23,81,50,0
6/28/23,79,42,0
6/29/23,78,44,0
6/30/23,82,0,0
7/1/23,86,45,0
7/2/23,88,47,0
7/3/23,90,51,0
7/4/23,87,55,0
7/5/23,84,49,0
7/6/23,86,52,0
7/7/23,84,48,0
7/8/23,85,50,0
7/9/23,86,54,0
7/10/23,86,0,0
