country,province,variety,avg_points,avg_price
France,Burgundy,Pinot Noir,90.42,97.16
France,Champagne,Chardonnay,91.43,91.05
Italy,Tuscany,Syrah,89.42,71.18
Australia,Tasmania,Chardonnay,92.00,67.50
France,Champagne,Pinot Noir,89.75,64.29
Canada,Ontario,Cabernet Sauvignon,88.00,59.33
US,California,Cabernet Sauvignon,89.07,59.17
Australia,Victoria,Syrah,92.50,57.50
US,Michigan,Syrah,85.67,56.67
France,Burgundy,Chardonnay,89.30,56.59
Italy,Tuscany,Cabernet Sauvignon,90.00,52.85
France,Loire Valley,Cabernet Sauvignon,90.20,48.40
Canada,British Columbia,Syrah,91.14,47.36
US,California,Pinot Noir,89.73,45.09
US,Oregon,Pinot Noir,89.47,44.62
Spain,Catalonia,Syrah,89.25,43.25
US,Oregon,Syrah,88.69,43.10
Italy,Tuscany,Pinot Noir,86.00,43.00
Italy,Lombardy,Chardonnay,88.63,41.77
US,Washington,Cabernet Sauvignon,89.34,40.96
US,Washington,Syrah,90.06,40.70
Australia,Western Australia,Cabernet Sauvignon,90.08,40.25
Australia,Western Australia,Chardonnay,89.52,40.01
US,Missouri,Cabernet Sauvignon,86.00,40.00
Spain,Catalonia,Cabernet Sauvignon,87.50,39.67
US,Arizona,Syrah,86.00,39.33
Italy,Tuscany,Chardonnay,89.13,38.81
Canada,British Columbia,Cabernet Sauvignon,91.50,38.50
Italy,Northwestern Italy,Chardonnay,88.00,38.00
US,California,Syrah,89.22,37.83
US,Michigan,Pinot Noir,86.43,37.79
Australia,South Australia,Cabernet Sauvignon,89.41,37.76
Australia,Tasmania,Pinot Noir,88.50,37.56
Australia,Victoria,Chardonnay,88.63,36.96
US,Oregon,Cabernet Sauvignon,87.18,36.81
Australia,Victoria,Pinot Noir,87.74,36.46
Spain,Northern Spain,Cabernet Sauvignon,87.50,36.00
US,New Jersey,Pinot Noir,87.00,36.00
Italy,Veneto,Syrah,90.00,35.00
US,New Jersey,Syrah,87.00,35.00
US,Virginia,Pinot Noir,87.00,35.00
US,Oregon,Chardonnay,89.72,34.94
Canada,British Columbia,Pinot Noir,88.55,34.35
US,Virginia,Syrah,84.80,34.10
US,Pennsylvania,Chardonnay,86.50,33.50
Australia,New South Wales,Pinot Noir,85.00,33.00
US,Pennsylvania,Cabernet Sauvignon,85.50,32.50
Spain,Northern Spain,Syrah,88.91,32.45
US,California,Chardonnay,88.59,32.16
US,Nevada,Syrah,83.00,32.00
Italy,Sicily & Sardinia,Cabernet Sauvignon,88.36,31.82
Italy,Northeastern Italy,Pinot Noir,89.00,31.50
France,Bordeaux,Cabernet Sauvignon,86.83,31.17
Spain,Catalonia,Chardonnay,86.44,31.00
Italy,Northeastern Italy,Chardonnay,88.47,30.90
US,Washington,Pinot Noir,87.09,30.59
US,Colorado,Chardonnay,86.25,30.50
US,New Jersey,Chardonnay,83.00,30.50
France,Southwest France,Cabernet Sauvignon,88.00,30.33
Italy,Sicily & Sardinia,Chardonnay,88.08,30.13
